date,scope,key,status,dd,edge_pp,exp_pctl,n_trades
2026-07-30,profile,Balanced,yellow,-0.2027,,,
2026-07-30,profile,Growth,green,-0.2011,,,
2026-07-30,sleeve,ARTY,green,-0.0689,3.84,99.0,83.0
2026-07-30,sleeve,BTC,warming,-0.0197,17.18,,8.0
2026-07-30,sleeve,ERX,warming,-0.1387,-0.0,,10.0
2026-07-30,sleeve,ETH,warming,-0.033,9.11,,8.0
2026-07-30,sleeve,GDX,red,-0.1444,18.86,7.4,96.0
2026-07-30,sleeve,GLDM,warming,-0.1329,10.57,,9.0
2026-07-30,sleeve,GRID,green,-0.0668,11.57,48.7,57.0
2026-07-30,sleeve,MSTR,warming,-0.0378,62.62,,8.0
2026-07-30,sleeve,MSTU,warming,-0.0713,142.03,,8.0
2026-07-30,sleeve,NUGT,yellow,-0.3307,34.41,6.3,96.0
2026-07-30,sleeve,OIH,warming,-0.172,0.0,,10.0
2026-07-30,sleeve,PBW,green,-0.0211,29.4,97.8,79.0
2026-07-30,sleeve,REMX,red,-0.3933,-0.0,,3.0
2026-07-30,sleeve,SOXL,yellow,-0.6186,0.0,,5.0
2026-07-30,sleeve,SOXX,yellow,-0.2297,-0.0,,8.0
2026-07-30,sleeve,UGL,warming,-0.2881,18.08,,11.0
2026-07-30,sleeve,WGMI,yellow,-0.3155,-4.03,,18.0
2026-07-30,sleeve,XLE,warming,-0.0575,0.0,,10.0
2026-07-30,tracking,book_vs_replay,warming,,-2.37,,14.0
2026-07-31,profile,Balanced,green,-0.1917,,,
2026-07-31,profile,Growth,green,-0.2291,,,
2026-07-31,sleeve,ARTY,green,-0.0689,3.06,99.0,83.0
2026-07-31,sleeve,BTC,warming,-0.0197,17.72,,8.0
2026-07-31,sleeve,ERX,warming,-0.1216,-0.0,,10.0
2026-07-31,sleeve,ETH,red,-0.1192,10.32,,8.0
2026-07-31,sleeve,GDX,red,-0.1743,18.9,7.4,96.0
2026-07-31,sleeve,GLDM,warming,-0.1329,11.65,,9.0
2026-07-31,sleeve,GRID,green,-0.0668,9.78,48.7,57.0
2026-07-31,sleeve,MSTR,warming,-0.0378,63.36,,8.0
2026-07-31,sleeve,MSTU,warming,-0.0713,142.44,,8.0
2026-07-31,sleeve,NUGT,yellow,-0.3757,34.72,6.3,96.0
2026-07-31,sleeve,OIH,warming,-0.1523,0.0,,10.0
2026-07-31,sleeve,PBW,green,-0.0211,29.74,97.8,79.0
2026-07-31,sleeve,REMX,red,-0.3977,-0.0,,3.0
2026-07-31,sleeve,SOXL,yellow,-0.6186,0.0,,5.0
2026-07-31,sleeve,SOXX,yellow,-0.2292,0.0,,8.0
2026-07-31,sleeve,UGL,warming,-0.2881,19.57,,11.0
2026-07-31,sleeve,WGMI,yellow,-0.3155,-6.7,,18.0
2026-07-31,sleeve,XLE,warming,-0.0481,0.0,,10.0
2026-07-31,tracking,book_vs_replay,warming,,-1.55,,15.0
